FPR,TPR,threshold
0.012990196078431373,0.29558823529411765,0.9989994954354092
0.013235294117647059,0.29558823529411765,0.9989989410966892
0.013235294117647059,0.30049019607843136,0.9989748988055792
0.013480392156862746,0.30049019607843136,0.998974841936196
0.013480392156862746,0.3017156862745098,0.9989669403332736
0.013725490196078431,0.3017156862745098,0.99896262888997
0.013725490196078431,0.3105392156862745,0.9989080167588232
0.013970588235294118,0.3105392156862745,0.998907075969292
0.013970588235294118,0.3127450980392157,0.998895307334798
0.014215686274509804,0.3127450980392157,0.9988951686338324
0.014215686274509804,0.3193627450980392,0.9988408797510576
0.01446078431372549,0.3193627450980392,0.998839975553264
0.01446078431372549,0.32083333333333336,0.998830464580326
0.014705882352941176,0.32083333333333336,0.9988299621703396
0.014705882352941176,0.32132352941176473,0.998826522255261
