threshold,FAR,FRR
0.6900000000000001,0.13357843137254902,0.19950980392156864
0.6950000000000001,0.13259803921568628,0.20073529411764707
0.7000000000000001,0.1321078431372549,0.20147058823529412
0.705,0.13137254901960785,0.2017156862745098
0.71,0.13112745098039216,0.20269607843137255
0.715,0.1303921568627451,0.20318627450980392
0.72,0.12965686274509805,0.2036764705882353
0.725,0.12867647058823528,0.20392156862745098
0.73,0.12867647058823528,0.20465686274509803
0.735,0.12794117647058822,0.20490196078431372
0.74,0.12794117647058822,0.20563725490196078
0.745,0.12745098039215685,0.2073529411764706
0.75,0.12696078431372548,0.20784313725490197
0.755,0.12622549019607843,0.20857843137254903
0.76,0.12524509803921569,0.20980392156862746
0.765,0.12352941176470589,0.21029411764705883
0.77,0.1232843137254902,0.21102941176470588
0.775,0.12254901960784313,0.2125
0.78,0.12205882352941176,0.21372549019607842
0.785,0.12083333333333333,0.21446078431372548
0.79,0.12083333333333333,0.21568627450980393
0.795,0.12058823529411765,0.21691176470588236
0.8,0.12009803921568628,0.2181372549019608
0.805,0.11960784313725491,0.2196078431372549
0.81,0.11862745098039215,0.22009803921568627
0.8150000000000001,0.11764705882352941,0.22156862745098038
0.8200000000000001,0.11666666666666667,0.22230392156862744
0.8250000000000001,0.11568627450980393,0.2235294117647059
0.8300000000000001,0.11372549019607843,0.22647058823529412
0.835,0.11348039215686274,0.2286764705882353
0.84,0.11200980392156863,0.23112745098039217
0.845,0.11176470588235295,0.2323529411764706
0.85,0.1105392156862745,0.2340686274509804
0.855,0.11004901960784313,0.23602941176470588
0.86,0.10955882352941176,0.23799019607843136
0.865,0.10784313725490197,0.23848039215686276
0.87,0.1071078431372549,0.2409313725490196
0.875,0.10612745098039215,0.24215686274509804
0.88,0.1053921568627451,0.24387254901960784
0.885,0.10441176470588236,0.24485294117647058
0.89,0.10294117647058823,0.2465686274509804
0.895,0.10147058823529412,0.25073529411764706
0.9,0.10049019607843138,0.25392156862745097
0.905,0.09950980392156862,0.2580882352941177
0.91,0.09754901960784314,0.26323529411764707
0.915,0.09607843137254903,0.26519607843137255
0.92,0.09411764705882353,0.2678921568627451
0.925,0.09240196078431373,0.2727941176470588
0.93,0.09117647058823529,0.2769607843137255
0.935,0.08872549019607844,0.2823529411764706
0.9400000000000001,0.08651960784313725,0.2887254901960784
0.9450000000000001,0.08529411764705883,0.2943627450980392
0.9500000000000001,0.08284313725490196,0.30098039215686273
0.9550000000000001,0.07965686274509803,0.30686274509803924
0.96,0.07794117647058824,0.31666666666666665
0.965,0.07401960784313726,0.3237745098039216
0.97,0.06838235294117648,0.3355392156862745
0.975,0.06568627450980392,0.3522058823529412
0.98,0.059313725490196076,0.37058823529411766
0.985,0.05367647058823529,0.3943627450980392
0.99,0.049509803921568625,0.4264705882352941
0.995,0.0375,0.5007352941176471
1.0,0.0,1.0
