user_id,features,input_dim,n_train,n_val,epochs_run,best_val_loss,train_csv,val_csv,model_type
s032,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.851873517036438,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s033,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7138014435768127,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s034,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.6297774314880371,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s035,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.627886176109314,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s036,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.5527233481407166,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s037,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.5746796727180481,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s038,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.6822348833084106,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s039,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7484610676765442,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s040,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7033166289329529,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s041,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7593646049499512,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
